ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.494.0,Fernão Dias,494,MG-BR381,-44.17812671,-19.96616703
Fernão Dias.MG-BR381.494.1,Fernão Dias,494.1,MG-BR381,-44.17918654,-19.96698444
Fernão Dias.MG-BR381.494.2,Fernão Dias,494.2,MG-BR381,-44.17948321,-19.96733006
Fernão Dias.MG-BR381.494.3,Fernão Dias,494.3,MG-BR381,-44.18037343,-19.96836712
Fernão Dias.MG-BR381.494.4,Fernão Dias,494.4,MG-BR381,-44.18067029,-19.96871294
Fernão Dias.MG-BR381.494.5,Fernão Dias,494.5,MG-BR381,-44.1815605,-19.96975
Fernão Dias.MG-BR381.494.6,Fernão Dias,494.6,MG-BR381,-44.18215404,-19.97044144
Fernão Dias.MG-BR381.494.7,Fernão Dias,494.7,MG-BR381,-44.18274757,-19.97113288
Fernão Dias.MG-BR381.494.8,Fernão Dias,494.8,MG-BR381,-44.18334093,-19.97182412
Fernão Dias.MG-BR381.494.9,Fernão Dias,494.9,MG-BR381,-44.18384553,-19.97241196
Fernão Dias.MG-BR381.495.0,Fernão Dias,495,MG-BR381,-44.18423132,-19.97286138
Fernão Dias.MG-BR381.495.1,Fernão Dias,495.1,MG-BR381,-44.18522511,-19.97336979
Fernão Dias.MG-BR381.495.2,Fernão Dias,495.2,MG-BR381,-44.18631551,-19.97362443
Fernão Dias.MG-BR381.495.3,Fernão Dias,495.3,MG-BR381,-44.18720899,-19.97383307
Fernão Dias.MG-BR381.495.4,Fernão Dias,495.4,MG-BR381,-44.18770073,-19.97394791
Fernão Dias.MG-BR381.495.5,Fernão Dias,495.5,MG-BR381,-44.18883559,-19.97421292
Fernão Dias.MG-BR381.495.6,Fernão Dias,495.6,MG-BR381,-44.18989025,-19.97445921
Fernão Dias.MG-BR381.495.7,Fernão Dias,495.7,MG-BR381,-44.19066782,-19.97464079
Fernão Dias.MG-BR381.495.8,Fernão Dias,495.8,MG-BR381,-44.19167749,-19.97487657
Fernão Dias.MG-BR381.495.9,Fernão Dias,495.9,MG-BR381,-44.19257125,-19.97508529
Fernão Dias.MG-BR381.496.0,Fernão Dias,496,MG-BR381,-44.19301826,-19.97518968
Fernão Dias.MG-BR381.496.1,Fernão Dias,496.1,MG-BR381,-44.19414324,-19.97568932
Fernão Dias.MG-BR381.496.2,Fernão Dias,496.2,MG-BR381,-44.19448226,-19.97588693
Fernão Dias.MG-BR381.496.3,Fernão Dias,496.3,MG-BR381,-44.19549952,-19.97647985
Fernão Dias.MG-BR381.496.4,Fernão Dias,496.4,MG-BR381,-44.19617776,-19.97687518
Fernão Dias.MG-BR381.496.5,Fernão Dias,496.5,MG-BR381,-44.196856,-19.9772705
Fernão Dias.MG-BR381.496.6,Fernão Dias,496.6,MG-BR381,-44.19753424,-19.97766582
Fernão Dias.MG-BR381.496.7,Fernão Dias,496.7,MG-BR381,-44.19821248,-19.97806115
Fernão Dias.MG-BR381.496.8,Fernão Dias,496.8,MG-BR381,-44.19889052,-19.97845635
Fernão Dias.MG-BR381.496.9,Fernão Dias,496.9,MG-BR381,-44.19924319,-19.97866192
Fernão Dias.MG-BR381.497.0,Fernão Dias,497,MG-BR381,-44.19990798,-19.9790494
Fernão Dias.MG-BR381.497.1,Fernão Dias,497.1,MG-BR381,-44.20060972,-19.98004915
Fernão Dias.MG-BR381.497.2,Fernão Dias,497.2,MG-BR381,-44.20079103,-19.9804501
Fernão Dias.MG-BR381.497.3,Fernão Dias,497.3,MG-BR381,-44.20133506,-19.9816532
Fernão Dias.MG-BR381.497.4,Fernão Dias,497.4,MG-BR381,-44.20157447,-19.98218266
